ADD ANCW 732,13 438225 6194159
ADD NUNZ 341,61 71562 7070874
ADD XXVX 221,16 906039 7843996
ADD WNTS 630,18 81478 6465624
ADD QOFV 303,52 199228 151511
ADD PUCY 379,26 986096 1795274
ADD PRRO 769,10 404364 4423244
ADD UEQC 526,29 206537 83748
ADD YVAZ 758,11 458423 1579777
ADD FDFW 318,64 287794 6817342
ADD AHRA 987,03 42797 5268765
ADD OCDB 87,75 628971 9269774
ADD NTCE 541,27 305024 7361255
ADD KFML 147,26 242004 2747306
ADD WPHW 497,02 519711 3838532
ADD UOPO 287,95 712302 2743881
ADD DHWJ 969,90 918940 615355
ADD EJIX 592,02 92441 7638210
ADD ROSI 438,06 15334 3984883
ADD QLSV 539,48 873110 8337547
ADD EJGV 437,51 193679 6849075
ADD ROGV 629,23 340742 8601659
ADD XLJH 977,08 217862 8638432
ADD EFFG 987,44 822313 6062728
ADD MQPJ 270,98 621788 9251842
ADD BSDN 686,09 835871 1285704
ADD ZMOQ 636,36 438275 1113150
ADD QPDI 744,04 970857 1273842
ADD RJCR 653,66 460041 704476
ADD AYFR 33,53 95080 6054813
ADD PANJ 937,38 744992 7676353
ADD OOOC 564,65 134108 5977598
ADD KXPA 114,90 818072 1538421
ADD EIWI 870,45 696357 6933870
ADD UDXU 861,05 23714 223517
ADD CAXX 465,33 498755 2621153
ADD BHUZ 86,02 673934 4336129
ADD TQZH 599,43 738905 7254255
ADD MDDJ 624,35 286029 2734342
ADD QUAA 781,62 77733 1387854
ADD FDKQ 22,61 296751 1769140
ADD DNIP 793,74 924169 8260180
ADD XBVC 273,37 739684 7833649
ADD BAZZ 168,83 238341 9578873
ADD WUUQ 593,30 530878 4059075
ADD WAMN 355,87 188537 1639122
ADD CGQF 592,78 140333 4682577
ADD FSQU 43,79 554854 4698646
ADD PDMT 434,95 68929 6894561
ADD VBUX 367,40 989292 7659675
ADD TCZG 831,67 486698 1876505
ADD TXXQ 967,84 250701 2207961
ADD KBJC 974,15 488186 4069186
ADD WNGW 130,26 593192 4782565
ADD ZUUP 745,84 833696 1673279
ADD RYWM 471,37 30526 6719222
ADD OTQY 815,25 890350 5608090
ADD ABDK 899,48 50991 4682851
ADD ZTYY 456,45 96147 1875319
ADD PDWP 819,75 887356 8055586
ADD MZFK 194,70 206560 5386653
ADD ZEZA 807,26 240006 9006921
ADD HSJJ 625,12 454086 3943923
ADD MQUI 220,57 430477 817680
ADD WEIX 1,85 654806 1983103
ADD SZBF 478,46 912753 3860811
ADD XMDU 445,42 166911 6185704
ADD MDMD 972,40 90291 1068915
ADD QSQT 866,11 895314 1474165
ADD BZYF 837,57 977139 1000606
ADD ZQGX 950,72 570880 3302027
ADD EJGD 54,90 425651 9175553
ADD KXKL 810,60 723865 5850161
ADD WOUP 606,97 233682 6950389
ADD BSAI 138,54 870990 945167
ADD VVGH 660,31 177361 4863470
ADD MFYS 972,10 44847 5954921
ADD XBNK 996,72 311568 8626051
ADD PBZB 411,21 312428 6702888
ADD DVGN 166,45 587664 3200748
ADD WGYQ 887,48 447639 7594192
ADD YSYJ 85,65 159858 7017470
ADD VOSC 833,03 982880 3507978
ADD ARMS 50,98 400501 476848
ADD UZZR 846,50 448279 4554394
ADD MHMG 393,89 574011 2278425
ADD JIWK 703,74 510764 4443497
ADD IPJV 247,21 996932 5974895
ADD YYUA 811,05 850801 4855292
ADD RSRU 146,87 892017 6940296
ADD FGFJ 948,45 459733 2685561
ADD RYIK 441,20 956609 5960668
ADD EKYZ 400,76 290218 1462056
ADD NBEI 730,63 274902 8017152
ADD WEBF 824,01 70047 63855
ADD PRTU 810,35 74544 8924459
ADD NGLW 445,04 411525 6100436
ADD YQTO 838,60 993327 7234611
ADD VPSX 441,70 761614 5923197
ADD IMUM 703,32 352980 7745296
ADD YHFP 601,52 328456 7596723
ADD LOND 809,73 978432 7633751
ADD OESC 606,38 853093 2151897
ADD RTPY 761,47 448562 8075327
ADD VTDR 540,89 423925 3451640
ADD MILO 658,11 731596 8298783
ADD GQVX 472,08 140777 8314934
ADD NBAX 981,54 94606 3973613
ADD JXGF 198,15 240913 710106
ADD LWPP 293,93 531161 5525183
ADD NSYK 513,87 242590 633801
ADD AQNY 219,93 44076 6916684
ADD WLXO 590,27 100576 2646666
ADD AWGL 435,84 128873 1980779
ADD NTOK 316,32 187400 8489412
ADD BVPT 638,22 340496 2254738
ADD UNKK 700,26 163622 4877629
ADD TXQN 714,78 63425 7470807
ADD FXJG 678,20 318506 7288028
ADD NFGH 590,16 207677 8913778
ADD UPFU 927,64 578662 4576296
ADD NJBD 469,14 45477 81464
ADD DXHU 533,65 442442 1366598
ADD EEJB 450,12 816440 4157856
ADD OOJX 605,28 165029 1827453
ADD MREO 731,38 992472 1378368
ADD EESR 189,82 742890 5712053
ADD ZPHF 882,86 572037 9146320
ADD JOAI 82,75 895143 6405106
ADD XYKV 906,05 36831 2179749
ADD UWYI 380,79 619790 2818141
ADD SUSE 54,75 245864 1740470
ADD RXXF 875,94 9456 4238522
ADD JYSH 639,20 831102 7221018
ADD JBLE 637,99 64636 8225394
ADD RFDB 286,39 340452 3014023
ADD QABE 383,22 702019 4465034
ADD SQCP 379,16 630265 7877715
ADD BMOP 477,01 510007 8747688
ADD RSCT 646,63 553470 751350
ADD YEIH 667,88 536742 5844116
ADD PICT 128,83 867220 3976069
ADD OJHZ 900,78 378818 1963699
ADD SHWK 988,00 24058 6714934
ADD LHDY 807,08 466971 4085261
ADD BMFJ 889,29 923666 3400290
ADD QDBN 719,19 460642 845896
ADD PFOI 923,56 907100 5933309
ADD NNAG 307,14 585767 5889962
ADD UTAU 294,83 296056 8467359
ADD DDLJ 185,11 955034 7072666
ADD KIFB 245,13 402792 7176447
ADD LIUY 85,27 446797 6293022
ADD MMYD 939,39 636810 2549489
ADD MHDZ 446,82 472752 7027037
ADD FBOI 282,95 794017 8033390
ADD HTAI 517,71 566867 5495965
ADD DRPH 894,45 576140 3464075
ADD VMAR 316,82 605862 1576645
ADD UJDV 706,72 971724 3693695
ADD KFGV 54,22 597179 6287195
ADD VFBM 918,26 451842 2078625
ADD HYQO 857,08 4801 925830
ADD PFIA 268,08 320941 5232999
ADD UGMV 899,06 708938 954252
ADD DPLT 856,48 819695 2715879
ADD UJDP 280,68 507973 5765332
ADD HKLS 984,46 258312 1667801
ADD VUVB 258,34 418756 1429989
ADD IOPP 734,33 355480 3872018
ADD OGDP 669,85 261942 1043172
ADD AMFU 264,38 483104 4030729
ADD MQWU 653,73 373676 6283672
ADD IBAO 40,00 21249 5440724
ADD SMCC 10,43 410519 8418664
ADD BUAJ 474,11 461498 5600555
ADD PMFP 802,64 510600 3527771
ADD IPRT 699,53 688622 1610083
ADD URIH 42,75 807149 1533846
ADD CJFS 445,77 689755 6865267
ADD BQJT 564,80 77210 7753313
ADD BQSN 243,16 26338 2520050
ADD NIQX 428,85 198076 9837217
ADD FXDX 426,80 510788 1410965
ADD TWCK 455,18 158119 3015518
ADD JVKZ 662,98 714018 4174517
ADD ACPW 736,19 526920 5094077
ADD HVEN 970,89 840444 1707334
ADD ZTQA 223,45 480754 2695174
ADD HHZP 462,03 567346 9695712
ADD FOOD 737,75 742741 9292575
ADD OZUN 270,26 963525 3237177
ADD BRDY 999,67 242817 7495821
ADD PPMN 394,85 956758 8571559
ADD EJTH 528,43 49638 4974713
ADD VEOL 429,41 625060 8522529
ADD LLMV 506,54 735830 351272
ADD OYGQ 399,33 555793 2605118
ADD JUOL 958,05 339712 4446721
ADD BITF 180,19 805789 2076596
ADD JQIY 837,97 473910 9665162
ADD MARG 220,10 997417 9595354
ADD UFUN 880,56 453095 1610601
ADD EJHU 538,35 243828 88742
ADD JHGE 304,10 151333 4362726
ADD GEVV 223,22 278240 6236334
ADD BBNT 719,81 268511 4995175
ADD LPJM 901,48 640557 3747881
ADD NODH 842,67 72614 9660146
ADD WNPH 902,32 619771 6427630
ADD KTON 851,60 908331 957358
ADD ZVYD 88,32 579979 4651762
ADD BSBI 496,87 345983 7358690
ADD CUQH 576,13 12157 1123278
ADD DKAW 302,25 937681 8213747
ADD CNUV 819,53 714067 1338294
ADD XDPW 459,57 261938 9176552
ADD WSYM 777,47 280364 3657346
ADD WLXC 263,49 161683 7313512
ADD QSDK 139,83 596169 5517224
ADD JLPJ 183,90 689924 7252665
ADD ALCF 833,53 381898 4091710
ADD QAKH 923,81 285941 6539715
ADD XXYA 281,55 296752 9358460
ADD HVWM 60,31 758200 7557386
ADD GWYO 137,70 547100 6589495
ADD YURQ 116,18 887741 2882742
ADD XJKB 469,60 732622 2480742
ADD CEVW 160,00 617236 5507854
ADD EBTK 612,69 298150 8261664
ADD MSDA 282,19 570605 4278647
ADD BQXP 167,83 65893 9996954
ADD YEQB 544,80 904538 2170105
ADD NWQQ 865,13 310636 6006572
ADD ZTOO 252,62 978635 4403257
ADD EFOY 266,81 627130 2710733
ADD SGOI 643,35 358415 7306111
ADD FPNK 531,52 572081 2437137
ADD DGYK 344,36 575960 8862000
ADD ABZO 713,01 679313 8500529
ADD IZJI 193,83 486007 5785556
ADD DYXZ 315,64 932090 7219203
ADD CMNR 273,82 155163 3935505
ADD EVOH 79,41 255021 822268
ADD VOZH 253,00 60118 907948
ADD RMOI 217,31 498507 9948468
ADD JVYE 386,65 692567 1491982
ADD DUDJ 577,44 383508 5686881
ADD NIMY 771,62 121263 5729724
ADD HXMS 452,64 294376 8569433
ADD GIZR 703,91 932495 6717021
ADD ZDHM 10,42 325576 8534420
ADD AGKY 236,42 710407 4145079
ADD WQOL 565,57 342676 6751143
ADD CAKJ 284,72 285704 4461104
ADD TPNK 168,37 361870 2033993
ADD YANR 878,30 721378 4873681
ADD CSPF 230,91 109972 4288593
ADD LSBP 405,14 5830 5757373
ADD JUUU 164,20 261929 8616756
ADD LVKY 947,06 483972 7587646
ADD EZWW 248,77 148909 4009995
ADD PDNY 53,66 65548 8120631
ADD RDFE 211,34 117343 4000138
ADD DKES 552,48 303216 2141618
ADD BCDF 230,33 779488 9193353
ADD MTZM 242,94 990624 8402131
ADD XFOA 342,75 790258 3124990
ADD YKET 571,85 958252 7229537
ADD RQSG 475,14 936500 7488895
ADD UVWL 638,03 230148 4523715
ADD TCAN 571,38 562471 6887747
ADD OGYS 123,82 542906 4791680
ADD CQWZ 539,70 957611 2834465
ADD DEYY 0,97 66429 7185981
ADD ZJHC 991,98 628802 1220111
ADD RIYQ 108,76 716831 3848385
ADD MTWV 997,51 733835 1360420
ADD DXJN 951,83 61071 521203
ADD LFII 324,35 111174 9741718
ADD LTOF 315,49 912798 2535002
ADD XSHL 890,53 88086 385595
ADD RNCI 546,12 975293 138523
ADD VLYL 398,02 498745 1080458
ADD QUXM 594,35 823741 2014462
ADD TYZE 372,02 97872 6304666
ADD PACT 168,62 324557 2695656
ADD FOZS 78,25 576029 7184032
ADD CCGQ 596,80 493118 3689185
ADD CJYJ 40,82 260543 8082933
ADD UVUX 243,60 825665 5379215
ADD LTOQ 133,52 875191 6495373
ADD IGKM 581,30 103270 3257911
ADD GQVK 466,97 406437 9642496
ADD KSGJ 261,51 59934 1748034
ADD XHPT 544,42 452810 7988484
ADD MIQZ 785,68 818041 522805
ADD ZOMZ 408,84 552711 2888559
ADD DFAM 621,95 930727 197686
ADD HAUG 753,90 288924 2584505
ADD BJYN 865,92 421498 6172301
ADD IMOL 221,57 537769 4659831
ADD EWBM 793,21 853410 1173536
ADD BJLM 358,94 592303 3042656
ADD PWIC 901,25 978222 1601653
ADD EPWR 956,96 563663 6639178
ADD ZYIG 288,07 354129 6939571
ADD XHYQ 743,67 950024 3551533
ADD NWYF 465,74 740634 8421792
ADD RRWS 654,76 970044 6933662
ADD XJPN 956,08 786553 2808355
ADD YJJE 153,84 743019 5344340
ADD BANH 266,30 659647 940482
ADD OVZR 325,38 981493 1967654
ADD PPMT 92,27 457438 3246884
ADD WCFW 712,72 660636 4661642
ADD VZQP 847,02 593316 3168271
ADD YADW 123,97 202750 5012630
ADD NASV 862,17 935555 1894506
ADD OSXJ 878,41 513886 9123586
ADD XJEU 859,94 86092 1574716
ADD LVLE 215,96 989211 5160866
ADD RUGY 543,34 736750 4202026
ADD EWNI 842,57 729462 8835183
ADD YZXA 402,28 427834 2173179
ADD WXEJ 833,95 630736 5386751
ADD LMOQ 83,23 159649 1270294
ADD BRTG 370,50 77032 3580935
ADD HIVD 920,02 218035 8454018
ADD NCAO 26,02 959776 5953887
ADD PKLC 473,52 79265 8891748
ADD LEHO 582,72 142712 9785214
ADD RVVG 177,87 275195 8548228
ADD IPLC 595,49 191056 2007928
ADD PTMB 440,79 793137 242375
ADD IEVS 177,82 905001 849414
ADD BBKX 795,74 469653 3304885
ADD PDMR 732,06 669220 9031549
ADD VGVK 953,62 407127 6292979
ADD UFRN 596,88 220417 4869332
ADD VMFS 851,49 934279 3664457
ADD IZMX 834,31 946144 4936098
ADD TSGT 46,15 691989 7485340
ADD RIOK 629,18 797122 3343773
ADD XXQL 50,18 231315 1266036
ADD XQRY 23,65 733511 5048091
ADD VYIV 457,98 610416 480503
ADD VMBP 959,32 594608 7067156
ADD BFDD 959,71 348030 6030315
ADD EGUO 849,73 570590 8634269
ADD MECJ 590,49 667692 6171958
ADD GEKR 155,83 293137 3078765
ADD UNHT 812,82 713931 6911072
ADD JWZD 687,13 47145 3485018
ADD FDWX 279,58 998220 7869071
ADD QZNH 601,09 542056 8926812
ADD RWLM 375,55 981376 2073353
ADD CFTT 323,56 643436 4421896
ADD MTXQ 884,83 308374 3196341
ADD ZTUH 862,73 441400 2760213
ADD UTXA 382,08 311391 7272857
ADD BQTO 239,44 543595 2379866
ADD WYGQ 195,03 489804 6162908
ADD SJZA 6,37 704262 8415053
ADD QWRA 35,99 521005 1211076
ADD AIRM 78,84 811369 9929988
ADD ZKFE 650,12 154483 431544
ADD KJYN 349,84 19733 1296054
ADD PKUD 77,90 670382 9026238
ADD WUKV 811,92 277611 7376826
ADD SHSR 379,61 742095 5274237
ADD BNCK 158,72 227435 6605574
ADD FIXL 919,53 478757 2825404
ADD RKOX 88,64 437301 329008
ADD FCUM 557,27 229027 276320
ADD QPFG 783,39 45450 3661936
ADD DMFH 344,20 761944 7770608
ADD KVXG 284,06 25611 2746395
ADD FLAK 572,36 664436 5112723
ADD QHYC 737,38 707959 4754600
ADD DDOW 273,69 149577 5206160
ADD LOSX 734,84 21744 9074861
ADD SIUZ 517,18 536838 3170892
ADD BYWJ 217,21 156278 219490
ADD UVUG 101,52 307581 3987151
ADD XEIK 667,32 44394 4243228
ADD WRRW 491,06 287901 2696766
ADD OKHV 563,57 74187 5665618
ADD ESCE 92,61 473080 3685601
ADD SGMN 316,92 978747 2878619
ADD FTNL 220,77 303933 4369181
ADD XYMS 163,98 993017 7741997
ADD BNHT 349,45 494525 3546874
ADD LAWP 738,93 511464 1285854
ADD BOIP 497,30 989161 8717469
ADD EFFU 296,78 790086 2121254
ADD NXXQ 844,53 184274 8356430
ADD RJWX 810,78 929908 8645273
ADD CDMN 929,06 218598 163699
ADD DPDM 416,55 773236 2539888
ADD CWIP 19,28 143673 9991442
ADD WGHB 925,63 960165 6072705
ADD YJXJ 511,50 101624 5875409
ADD CNJI 381,02 27911 7022529
ADD OQOW 449,37 449654 980856
ADD EISK 877,47 673085 4767048
ADD JDNY 513,15 928931 8530413
ADD PJWC 119,21 932101 7744589
ADD ZTXX 76,44 781135 3684918
ADD LOQF 437,51 945473 2085412
ADD BCAD 177,98 462891 4219130
ADD EZDJ 241,16 31920 7948102
ADD OQHP 506,23 374214 1417727
ADD LNRF 122,06 185524 4254920
ADD FIEP 744,31 25747 3997356
ADD VKAA 88,96 921549 5077729
ADD TURE 873,10 515297 352775
ADD KTPD 651,77 384476 9397608
ADD RAVG 279,97 767712 3223735
ADD OPRW 729,20 549216 6068051
ADD HTWO 770,97 248546 8273411
ADD AFTL 602,34 981563 4806456
ADD IWSN 834,00 830998 6998608
ADD TIAY 386,86 592941 6073039
ADD YJMC 750,68 752077 9073573
ADD OCJJ 746,52 251414 9436397
ADD QMZH 404,65 242809 871209
ADD GOQY 820,56 98807 4575753
ADD FVHH 883,74 314024 9136163
ADD FMEU 587,67 726769 711865
ADD OKVI 223,89 573452 7648248
ADD VGPI 139,26 352516 4940213
ADD MZPQ 892,44 460981 9527087
ADD LOHR 584,56 307152 4032978
ADD KTBJ 858,22 872468 7019888
ADD XFEL 560,34 980758 6245383
ADD YWMZ 346,48 849849 7485183
ADD JMGN 567,74 886518 6598251
ADD BJTH 625,95 467989 3738053
ADD OSWW 609,10 671410 8561331
ADD IHOR 425,92 115832 1211462
ADD UNAR 847,18 85096 6442296
ADD OKRW 830,90 364243 6161195
ADD NERW 259,66 287067 3089262
ADD WCEL 750,53 130998 9052345
ADD YDLF 511,39 147370 691949
ADD XUCB 312,43 116754 769622
ADD SBVS 517,24 15639 5678315
ADD BSCV 775,59 637238 4433162
ADD ASUY 417,95 748032 1684542
ADD YXTT 811,98 436501 4596346
ADD AIJG 941,91 816168 2755293
ADD CQBM 254,08 289790 5120238
ADD CHGH 375,37 193006 2239199
ADD VUMA 655,92 879329 6210252
ADD NMON 613,69 130643 565754
ADD LNMB 265,30 140560 815002
ADD SSBG 16,48 848567 1241221
ADD YZCF 254,89 689466 6934911
ADD IYSO 39,07 243867 1860726
ADD COZX 309,81 466608 9191322
ADD MJMX 673,13 961251 9708785
ADD LYNT 3,89 783239 9065022
ADD HOVG 2,09 992899 2886314
ADD WLIM 411,98 511575 6658048
ADD ZNBY 365,47 171181 5836270
ADD XSJC 312,81 13336 8556611
ADD KNLR 270,80 229526 8627378
ADD JLNP 726,88 421840 937358
ADD UIOE 956,71 896727 8916747
ADD SXJJ 87,89 498278 3576579
ADD RXVH 973,85 154660 9511854
ADD OLUX 829,89 491808 380648
ADD YWAX 626,94 613909 844910
ADD XRHD 439,12 618981 7110688
ADD RIRT 297,51 837152 4755520
ADD ALEX 615,05 162748 4237874
ADD FCJC 916,89 984091 6018874
ADD MGPD 435,13 101834 4115264
ADD RVIU 108,86 891774 9502478
ADD YEKE 667,77 496214 9242512
ADD UMJP 771,63 581982 287122
ADD AJIA 628,20 699528 7198341
ADD RXNZ 118,58 404210 1024059
ADD VWEQ 221,52 529508 7660838
ADD SVKG 447,40 129488 5220380
ADD FBYQ 67,67 463827 5799573
ADD DKUP 156,97 330928 4401003
ADD DKGE 852,81 963161 3717784
ADD OUYY 781,80 722535 6417531
ADD RZPD 301,50 828831 552211
ADD OPWO 63,25 599405 6855873
ADD PJWQ 414,45 78889 4134282
ADD FTTV 327,27 112790 9522003
ADD MPQC 866,17 737120 3594786
ADD IYAW 688,15 363099 8986979
ADD OJOF 707,11 956872 1877664
ADD XFXZ 847,77 916945 7755847
ADD CFWX 764,90 158154 4064872
ADD QYCG 509,84 793264 2005364
ADD VBKY 389,10 185131 9121662
ADD PWLJ 678,85 397261 4778749
ADD AUCV 434,08 486033 4640648
ADD HORS 363,01 607263 9553176
ADD JPGW 624,51 672004 5935817
ADD PICC 450,91 235068 3966616
ADD MJFA 698,03 107498 551974
ADD BKIH 781,35 617372 5525107
ADD NQYE 969,57 950729 3086371
ADD HGQS 675,81 777428 5531452
ADD VWHR 211,98 71304 7449957
ADD BQFU 453,26 48795 3889449
ADD NZIA 997,31 619821 5664689
ADD JZKJ 696,68 309448 2642573
ADD ESEQ 893,44 91359 1418987
ADD CBBJ 290,87 361808 9479518
ADD GWCA 160,52 857316 5859864
ADD HSAU 501,14 381516 7774639
ADD XKBE 841,75 69475 559835
ADD TUZR 612,29 261360 850102
ADD BNLN 393,00 972706 8813562
ADD OFVH 897,62 31380 573382
ADD PQYY 245,93 500936 6198873
ADD VJDG 937,19 857966 6686037
ADD RLYB 949,00 28 7946108
ADD WYCA 555,16 642900 8529910
ADD NWTP 780,89 432387 7988489
ADD RLCX 895,62 885245 9112287
ADD HJRI 981,08 426756 5684931
ADD CWCM 406,34 183296 1689059
ADD STUS 991,79 622662 6444303
ADD MIND 750,19 650515 8105208
ADD RJZX 356,13 447504 1147889
ADD TOFD 913,56 44365 2421041
ADD JWCE 166,77 66631 4079247
ADD KTNN 31,42 492963 7903428
ADD UACA 209,77 320818 3294380
ADD LVHQ 698,57 360302 2070532
ADD HPKU 198,00 878585 1588909
ADD EDXK 786,46 40290 4389095
ADD TPVO 738,92 218080 8514966
ADD DBOV 35,34 798679 7440129
ADD FANZ 930,87 800272 5215501
ADD HMLD 941,04 358466 4599557
ADD ZMLJ 732,79 757262 1237845
ADD RCZT 706,13 377084 4216650
ADD BINQ 501,60 970368 6515923
ADD FJXZ 274,74 30777 7013187
ADD JJVV 342,00 447022 3810316
ADD WFKK 720,89 367377 5264516
ADD CIJS 163,04 253181 3439267
ADD XKGO 509,50 64570 9194563
ADD RNFX 586,11 946485 7076958
ADD KWGX 399,95 480330 5731155
ADD TTOQ 98,82 959612 3677601
ADD BLLP 11,45 694585 6082986
ADD YJWH 99,36 39128 5200113
ADD LMLZ 319,95 399516 8313820
ADD QZSU 725,75 996528 4424306
ADD KWFK 606,00 563050 607644
ADD BXXJ 614,71 585866 1046248
ADD IASX 623,10 915705 9913281
ADD CGGD 984,46 571916 1954744
ADD AHBY 6,19 312705 2625982
ADD TGMM 686,16 126846 5945446
ADD FWEG 189,65 475927 1292327
ADD ZXZT 118,39 164934 7352856
ADD VGTN 354,41 491186 9927090
ADD ZFID 149,34 978795 16785
ADD GHJT 173,75 914793 572083
ADD VZNB 441,04 568081 9936182
ADD WIYM 377,25 450098 270877
ADD KUYT 820,42 981058 1834124
ADD KHKN 402,47 855203 2053255
ADD VKTB 591,48 357794 9081527
ADD NSTV 653,82 973683 7943204
ADD FXMN 933,27 155448 6076027
ADD QLQF 138,22 69305 6489673
ADD KWCQ 778,15 789995 3683645
ADD BIAF 497,14 934891 8765033
ADD KJRP 814,86 694658 8130562
ADD YGKC 704,32 378016 1784859
ADD UZGQ 510,95 575010 2792557
ADD WMRK 949,01 230093 9682962
ADD DFGS 299,05 217298 4233284
ADD WKUA 473,98 510794 9977378
ADD QFYP 321,62 273658 3622252
ADD YIBF 388,04 126734 9330113
ADD OXPM 378,57 351518 3331175
ADD IXLK 722,48 20333 2198275
ADD LITI 972,39 860134 8417884
ADD AMWL 250,99 53152 3168412
ADD YVZG 595,29 167001 4675982
ADD ZOAE 842,64 92092 2499041
ADD UNTA 652,87 69597 1079907
ADD ISKR 367,39 154168 1986758
ADD RWFA 668,83 451895 7208925
ADD MAFX 423,63 55915 4488159
ADD EDFG 665,31 847120 5097635
ADD HBHK 407,46 288843 5176802
ADD IPWB 863,37 158253 6864120
ADD FBPJ 692,98 727086 7034403
ADD QGKF 98,08 65012 8985026
ADD XQRP 943,31 441164 9684758
ADD KTOL 592,84 372269 957699
ADD KAVH 821,89 318650 5164240
ADD ZILG 987,42 825150 5280610
ADD DZQF 623,38 958447 6322565
ADD MGKT 764,26 936685 5397538
ADD WFRN 593,92 863041 2476937
ADD BLXG 467,51 611424 4598697
ADD WSCC 960,20 686312 9304146
ADD XIXR 359,49 16223 3945977
ADD FRYK 936,79 172281 6368244
ADD HXIX 408,84 478160 5891897
ADD EZFS 231,42 996779 3010211
ADD KSTK 755,20 831545 2884909
ADD SBRQ 817,59 693013 7222708
ADD AWGL 44,74 539585 4019640
ADD UYHY 994,14 680237 7076251
ADD PTPT 281,11 434350 2570336
ADD YVCU 1,26 481865 414573
ADD ALAR 86,39 626087 1273289
ADD BRSU 712,50 697824 3884603
ADD UKZQ 865,14 618231 1674585
ADD GMBI 106,94 277314 6735029
ADD DTTY 618,28 592783 871118
ADD ZKQA 920,92 359311 3786847
ADD NWHU 785,97 332694 6490652
ADD AKON 915,44 849049 7284
ADD GAIQ 834,36 125424 2312654
ADD GNVX 122,76 360660 5482701
ADD GMMB 375,95 700001 7655566
ADD VSIN 571,12 651989 7674343
ADD GQGU 839,99 705103 8614823
ADD FTRU 999,43 285008 5922778
ADD QXPC 576,11 853885 9629238
ADD FCON 126,03 914339 9309679
ADD HICZ 101,19 202926 9180549
ADD ATDO 147,52 203162 7264134
ADD PNZR 430,99 891025 7333486
ADD CNUC 660,34 498683 9967
ADD ZAJE 148,88 759607 325290
ADD LMKA 738,79 815648 4365812
ADD FHNN 133,80 918026 3656594
ADD RVZF 175,30 389251 513148
ADD XDLO 992,44 522836 428061
ADD STDT 758,55 998080 4093072
ADD KGGH 994,22 176258 5805412
ADD HPFG 971,69 84560 3307353
ADD AASM 795,57 444764 546208
ADD JSHJ 161,74 24718 1607711
ADD IDDD 629,45 968397 7640490
