ADD GEDV 158,74 475408 7029588
REMOVE LKHY
REMOVE VKKJ
REMOVE ZNMN
REMOVE POWB
REMOVE GJSD
REMOVE WLQB
REMOVE BVNG
REMOVE EZNP
REMOVE SEGT
REMOVE QSIJ
REMOVE WRTF
REMOVE CISU
REMOVE OBEZ
REMOVE UIOL
REMOVE LWAF
REMOVE PGQT
REMOVE UNAJ
REMOVE LMLR
REMOVE FSKS
REMOVE QLRZ
REMOVE YPUV
REMOVE YZFX
REMOVE AXWT
REMOVE UOGR
REMOVE AXDY
REMOVE GTYQ
REMOVE CJGQ
REMOVE ZXVL
REMOVE ZBZX
REMOVE QONH
REMOVE CUQG
REMOVE NVVY
REMOVE TFUM
REMOVE CEUU
REMOVE KAZR
REMOVE ZZDB
REMOVE NWTP
REMOVE VKAZ
REMOVE VNZA
REMOVE EGCE
REMOVE EPKT
REMOVE FLDO
REMOVE AEZY
REMOVE KEYC
REMOVE DGWR
REMOVE BKOL
REMOVE CNUE
REMOVE VLYW
REMOVE SNTZ
REMOVE WNUJ
REMOVE ZTZJ
REMOVE WNWB
REMOVE GVLS
REMOVE DCJX
REMOVE OSNP
REMOVE GSQZ
REMOVE LFHX
REMOVE RVVI
REMOVE TBDY
SEARCH MHHG
SEARCH JGPO
SEARCH HZRP
SEARCH OSUA
SEARCH DGIB
SEARCH WLNS
SEARCH JOFC
SEARCH KOLU
SEARCH CGMP
SEARCH ZCIN
SEARCH ODJB
SEARCH ANDJ
SEARCH DEYD
SEARCH TAFE
SEARCH LNSD
SEARCH MWCB
SEARCH FPUX
SEARCH BTCE
SEARCH TKYF
SEARCH TQKB
SEARCH CGRS
SEARCH NATJ
SEARCH JQAL
SEARCH NLTT
SEARCH TDWZ
SEARCH MCKV
SEARCH SDVT
SEARCH QFLV
SEARCH ROYW
SEARCH EDAN
SEARCH YUVN
SEARCH EYKL
SEARCH HXIC
SEARCH VDYV
SEARCH QNIX
SEARCH WIAD
SEARCH HWXO
SEARCH VJJM
SEARCH NYLT
SEARCH YNHF
SEARCH LCIH
SEARCH LSNU
SEARCH KIBZ
SEARCH RFCT
SEARCH SFIV
SEARCH BEST
SEARCH MBWH
SEARCH CGJB
SEARCH DOLQ
SEARCH CKRA
SEARCH EISP
SEARCH GWDO
SEARCH TSVY
SEARCH ZJLK
SEARCH NAEZ
SEARCH DESO
SEARCH FCWI
SEARCH DXGD
SEARCH YHAT
SEARCH RLZV
SEARCH NVEL
SEARCH COJA
SEARCH YWBE
SEARCH CYXK
SEARCH PTFG
SEARCH EEVF
SEARCH DKHP
SEARCH LCUD
SEARCH ECJX
SEARCH JBIP
SEARCH TIBF
SEARCH FCGV
SEARCH JAMC
SEARCH YMXP
SEARCH YATE
SEARCH FQPT
SEARCH USBT
SEARCH PMYV
SEARCH VSDX
SEARCH HFHB
SEARCH JMEP
SEARCH TIAU
SEARCH LVSS
SEARCH RPNM
SEARCH HHJJ
SEARCH RRMC
SEARCH LBVG
SEARCH KRRI
SEARCH HLGY
SEARCH OHQK
SEARCH FJTR
SEARCH FZGD
SEARCH RTNE
SEARCH CSZK
SEARCH PMWB
SEARCH ADWP
SEARCH VIVT
SEARCH HFIM
SEARCH LXGC
SEARCH YNHM
UPDATE IANR NSNR 374,36 404843 6370295
UPDATE STJD ZQRR 869,17 576962 7077859
UPDATE ZPFC CZOT 128,98 521893 2741704
UPDATE TDCZ VPAC 413,02 368813 3900766
UPDATE LUAJ ERJU 8,52 601335 3062872
UPDATE PMBJ OCBW 799,66 968277 8768355
UPDATE UMUD OTQM 763,62 624357 5702721
UPDATE DLHR EIBQ 41,79 933515 1275912
UPDATE LQFQ GGQM 390,96 250369 7934979
UPDATE REKR BQJA 473,90 417940 3499564
UPDATE MSWV YOBF 218,77 371826 3519820
UPDATE UYOV TWZY 651,62 594279 1979448
UPDATE XXEX TKPT 399,57 979247 4281776
UPDATE YVXU JDYR 855,33 906540 3134045
UPDATE ZXAF ODYL 595,09 892161 6270192
UPDATE CGPJ DKTB 526,28 541567 1686363
UPDATE FPGQ IWQM 810,82 340420 7677877
UPDATE WBAE ILZK 433,16 961964 7977527
UPDATE LZPF DSIZ 354,58 617703 4055509
UPDATE MSYS EHPK 180,54 726449 1852546
UPDATE KLWE VVCO 753,48 790824 7505547
UPDATE AOIG OHRJ 827,79 959680 6294935
UPDATE TEQD SCPN 168,13 208218 9327297
UPDATE IIOU YVYK 888,21 125755 7771100
UPDATE AVZT LEPX 390,47 907424 1483977
UPDATE TGWX TMUD 822,53 843126 8039422
UPDATE VTGU EBEV 903,36 714863 4247582
UPDATE QQNO SDCG 329,84 613305 7807416
UPDATE BMDG WLAL 715,53 913168 8291239
UPDATE NCIL GDPB 270,83 883132 134668
UPDATE SFUH CCBL 764,27 469021 7968114
UPDATE SUZP SIXY 934,37 33769 3657607
UPDATE AOHM NBWW 601,41 229504 8248315
UPDATE LJWC MLOM 578,37 861214 5921024
UPDATE SPUZ OOLU 844,62 455159 5974885
UPDATE FIJM HWMP 738,85 430249 927575
UPDATE POHQ OWVC 486,28 420499 3414974
UPDATE CQMR MUZF 709,03 932491 7200440
UPDATE KJFZ GPEJ 606,61 327989 123070
UPDATE ZGOB GXRF 840,53 247607 8717273
UPDATE GHBN XFJF 335,13 666448 3390471
UPDATE NUVQ CFUR 914,15 596112 2650806
UPDATE HTRB QJZF 46,64 254763 152804
UPDATE FOLW BPWT 765,59 629615 6085723
UPDATE TSZI CQZR 762,81 95837 6943373
UPDATE AHEW UAXL 634,20 731163 9884568
UPDATE GODG LRWU 559,88 870351 4150880
UPDATE NGNR KTVM 328,50 948623 5437645
UPDATE INYQ BGXN 455,58 84285 6727336
UPDATE DTPJ GDEG 272,02 965881 8664094
UPDATE KQQW AFIG 765,33 718710 7392473
UPDATE AFYK ZEKF 806,53 140214 4514494
UPDATE RYGM XFUO 277,62 9432 3923152
UPDATE QXPT DEER 787,00 857943 3904936
UPDATE DTMU UEJR 803,13 308310 5933334
UPDATE IFCK MZKV 503,39 239711 8190815
UPDATE VGJZ POKV 699,52 377587 5929628
UPDATE HVLD KXZB 309,37 535747 1975988
UPDATE OITF DEGS 865,79 60485 8128382
UPDATE SJMU MSSA 26,36 722281 8016894
UPDATE LSWN FRMG 435,22 905779 2783555
UPDATE HQXA VJEJ 223,64 314603 7833058
UPDATE HXOX NJRV 975,10 594935 1345562
UPDATE TBVI FCBS 851,04 341266 6966796
UPDATE EDBA VYDA 424,32 445789 9369373
UPDATE NJVY QAWS 420,74 483355 5334771
UPDATE WIVB SYJL 266,46 831043 6348688
UPDATE WOXW BYHN 998,00 572470 1139991
UPDATE FYEQ KNQL 546,33 493848 7611682
UPDATE RSVQ ZVGY 667,78 197058 1888324
UPDATE UUZT MYMF 292,22 411166 98345
UPDATE TAGS CDPF 895,53 75091 9552079
UPDATE LVRE ZAEN 703,59 267240 9583848
UPDATE ODQA VDEM 294,77 282222 5966807
UPDATE CLSO MLXV 105,96 535581 5441099
UPDATE XKXH CZTF 752,71 149640 7570052
UPDATE IUGB JVVC 159,76 644019 6885928
UPDATE QWTI EZOO 647,60 762890 2649034
UPDATE XQYE MOKZ 139,25 267765 7668479
UPDATE NLXN OEVL 16,98 822096 8738597
UPDATE EZGR DGPS 270,32 910911 3614138
UPDATE JNRG YIMB 6,31 976038 6687452
UPDATE YZJH AHES 132,63 912574 9896172
UPDATE VQEP FGTA 740,46 832458 7007297
UPDATE BOGP PXZQ 991,99 4593 1951507
UPDATE INHH CKDO 918,02 120686 7225839
UPDATE PDZN NZHW 632,67 882283 3503064
UPDATE GIAQ BNMM 929,32 88052 7847049
UPDATE OIFX MDEE 807,77 547727 6411085
UPDATE MNGW QSJZ 143,72 654832 2250623
UPDATE ZCBN XTWG 816,63 296787 6806060
UPDATE AWOL MJXT 200,27 666986 8713035
UPDATE PABC GWZR 954,27 361470 4470430
UPDATE HWXG OLRR 668,05 995610 770223
UPDATE VNQY NDHV 656,60 154602 4664688
UPDATE RJJC RDJE 318,43 288427 1411447
UPDATE QYLM CFEV 88,02 79427 6148574
UPDATE DZPH PKQW 471,35 652793 9515324
UPDATE CQHY OKTS 684,76 513735 704330
UPDATE JATS XAAC 440,93 946067 5536413
