ADD BARH 896,76 570611 9765220
ADD HUWY 29,38 132899 9810185
ADD XRBS 59,47 2796 6946721
ADD TPPO 875,57 560591 167840
ADD ECQV 790,35 999312 2682676
ADD AXGV 437,81 929215 2135179
ADD CUVV 343,58 165171 7864471
ADD OZPN 680,15 196496 5250376
ADD KPSY 403,07 421059 5463125
ADD ABTW 211,89 627842 1432179
ADD HVJC 682,57 921166 7734683
ADD LPWW 477,80 323250 4748872
ADD OWNU 757,39 922499 6706870
ADD VXHP 783,16 988703 7252388
ADD JINJ 240,72 813616 2834194
ADD CQOB 985,61 314600 8909443
ADD HJUL 761,50 97348 3452348
ADD EXNP 935,82 619851 4997250
ADD NVHZ 450,93 457742 5089632
ADD ZFOR 999,05 774823 286558
ADD CCXE 894,56 643835 5008074
ADD YGCE 239,60 247610 1761651
ADD DZOW 757,11 878811 9708392
ADD GKTK 100,16 35555 8301628
ADD XCCE 536,93 563292 7193157
ADD LTVM 658,23 937503 2814424
ADD QCEF 157,26 879757 4333326
ADD NBHC 791,41 925263 6211714
ADD VMWD 351,18 37595 2456080
ADD LOAN 833,82 171312 2719639
ADD IAVA 47,40 958550 6175544
ADD YRNH 555,50 618592 4622612
ADD MCNS 213,87 432939 4907920
ADD NHRX 546,97 260446 2062484
ADD TUNB 866,23 255530 801735
ADD HVMJ 340,84 921866 7477461
ADD PQOE 198,16 15169 6331945
ADD VQEW 852,64 517344 6234162
ADD KZCW 40,63 566846 6383265
ADD TZDI 972,81 89408 7040681
ADD ABRR 107,13 307793 7042238
ADD RCHE 391,85 508456 2403158
ADD LXNV 731,86 322438 7018026
ADD MVKU 990,85 461559 8841077
ADD SHKB 57,94 547086 5202355
ADD FEDR 379,13 803627 996451
ADD XMBS 882,64 211894 9063109
ADD MJJV 411,33 346082 8061213
ADD UIAW 616,73 910701 1058413
ADD PWLB 765,75 486940 7883454
ADD BVGL 64,90 742145 1638359
ADD FWUK 916,12 557750 3500420
ADD QXLK 984,33 359713 9632208
ADD DKBV 78,74 647600 3586250
ADD CUUO 628,42 861276 4977220
ADD LHUL 967,06 684967 5435022
ADD QBPH 732,75 607007 8197951
ADD LCBB 435,72 985115 676204
ADD HPBZ 650,19 161338 497518
ADD HWXX 346,11 661737 1052192
ADD RSEV 592,42 280859 7382559
ADD UJDW 235,44 74384 3229576
ADD YFDW 184,54 598224 6268604
ADD HXRC 621,36 517615 8748318
ADD XWJO 790,24 280265 4467795
ADD EAJE 24,18 679684 9371392
ADD YTPL 314,10 725138 9231120
ADD BRFA 38,74 785838 1003
ADD CVYA 438,43 711004 2832319
ADD LLGI 37,87 630443 5943739
ADD VTDS 501,49 959476 2682318
ADD BFBI 339,59 220249 2687340
ADD QIVY 474,10 78857 3595593
ADD LVMK 920,01 425784 3876763
ADD RVRR 741,83 945065 579419
ADD ZBZM 3,96 268518 1910404
ADD VKPS 649,64 96259 885330
ADD GMVL 115,42 819104 2971524
ADD CKYD 16,05 849702 7173915
ADD SVCW 419,72 625222 9755672
ADD XFKH 73,93 615295 6855873
ADD ZAEM 439,68 516951 9967323
ADD JESW 544,88 372510 3333105
ADD ETYU 477,44 188400 7588363
ADD ORIV 804,23 304945 5231992
ADD IIZD 324,42 537808 3635332
ADD GMET 343,74 39430 8323393
ADD FYBX 91,02 63254 4829762
ADD XXTT 988,96 905612 7250779
ADD BEOZ 238,39 652480 509538
ADD UWGB 578,36 790290 8215409
ADD FZWE 144,17 452973 7627297
ADD WOUZ 61,18 260613 965455
ADD QTAB 784,26 320859 7643994
ADD AOMK 221,15 919413 9750882
ADD SABX 362,62 145768 4134410
ADD NKWD 482,91 826832 3078071
ADD UTDR 971,23 939220 8654543
ADD RJOR 508,41 627940 765946
ADD ZRSQ 612,11 823612 7233252
ADD JZKR 540,16 60449 4068728
ADD XIVJ 163,48 936736 9106982
ADD EIWR 698,31 158611 6272413
ADD KQJF 122,19 516253 1089169
ADD TVMY 688,85 798187 5853686
ADD OLBA 204,28 666162 353218
ADD PVZY 629,60 862389 899246
ADD PSFG 135,80 327870 3024117
ADD FBAQ 951,39 415522 2805396
ADD AXZT 215,97 856320 2583048
ADD VQQQ 581,14 331199 4541074
ADD WSXS 484,58 407125 1476597
ADD QQCQ 864,13 13116 2654262
ADD YKPW 575,73 531708 1356635
ADD OAZH 932,25 175077 9465004
ADD JOWC 590,02 59027 1731445
ADD AATX 475,54 961963 948545
ADD FWWH 567,05 239194 3418016
ADD AFQZ 123,76 701915 7977313
ADD MTOK 390,40 649263 7997784
ADD ANOX 895,23 895011 2748825
ADD BCYS 207,07 643727 5923898
ADD EMZA 419,89 176212 1679253
ADD QVQV 693,41 781147 5576963
ADD WUGN 893,64 992090 5429665
ADD BKZS 749,62 529231 7469838
ADD EDGO 970,91 143940 1151914
ADD PUXC 454,71 3403 9313241
ADD HPRB 52,65 456578 1232190
ADD NEMB 364,15 5006 2531711
ADD JSUG 676,58 787360 9877383
ADD XXFP 482,11 503157 7297983
ADD EKRZ 966,89 991055 8342099
ADD DDPM 490,31 699071 2737266
ADD SAFP 350,34 764188 974478
ADD YKMT 65,63 329739 8274840
ADD RJIP 995,81 144567 6882117
ADD FKIP 368,39 287831 3938507
ADD TXAL 684,33 142124 687139
ADD MWSE 33,36 407489 6814792
ADD AGUX 66,61 626155 8266359
ADD URTD 245,57 718345 310381
ADD QCTZ 515,15 399491 7269163
ADD OXFO 732,97 759245 9675829
ADD HPSS 27,89 424610 9534542
ADD ISXM 757,85 544906 6570428
ADD KOYH 890,46 325014 1523466
ADD IXGR 439,19 518817 9932481
ADD MULM 54,10 541646 6080813
ADD YYIM 987,86 860110 7290142
ADD PPTW 436,24 114521 2803107
ADD YZEH 686,86 572401 9839056
ADD STRA 600,76 818724 4264313
ADD FAQB 698,39 758473 6843636
ADD HZMA 525,00 915839 1568731
ADD QOTC 29,99 988979 6364615
ADD ZKUX 410,51 573528 2545173
ADD KIIJ 241,73 9006 8964388
ADD CQAM 744,63 439805 54933
ADD AQGW 726,40 112345 8043401
ADD BBOH 69,85 264669 7404134
ADD WCSK 644,80 260337 1841170
ADD OBYA 168,08 84871 4460342
ADD STYF 848,22 23895 7013371
ADD ZQVZ 616,74 351592 2820304
ADD LGOS 369,99 323976 7920161
ADD DBUG 923,86 95120 2534049
ADD XSAX 318,25 470818 7337473
ADD VAIA 698,99 378924 4532534
ADD ITBP 251,92 604581 6795318
ADD VISC 567,27 329997 496442
ADD XLWU 371,95 844910 898558
ADD SLRQ 783,33 157919 5342588
ADD JAXN 109,82 641085 7575988
ADD TQSE 752,40 452977 7741927
ADD WREW 945,34 77743 4805974
ADD HXKT 915,37 139635 2750983
ADD WDAW 535,81 664003 2088064
ADD RPWA 705,01 281009 3196170
ADD OIEL 488,57 971992 6179566
ADD QVUV 530,30 401564 7569211
ADD MUVM 358,91 394412 7486973
ADD JQZI 996,02 552897 4749575
ADD TANH 705,42 161694 6059818
ADD FAPS 814,36 375055 7380987
ADD TBQK 284,84 244652 7057040
ADD GUUG 115,97 309397 149059
ADD CUJM 718,39 828788 695405
ADD XYTB 117,10 669824 5200258
ADD BFQX 842,01 618909 8452177
ADD LHWQ 53,72 998753 9383007
ADD VMDH 221,03 277020 1424644
ADD NLBU 569,16 532081 9897778
ADD NNTZ 986,04 57927 304564
ADD ZNQO 248,35 800774 7659246
ADD BJWM 680,51 375642 6171937
ADD BXIS 420,56 603566 8499237
ADD XWBI 772,37 911538 9545262
ADD LZWA 960,75 523158 6601353
ADD YUQD 973,82 983692 6595165
ADD ZRDD 76,98 57096 1564141
ADD TELS 12,81 626691 3801043
ADD CMJX 863,87 175156 3421380
ADD XFSN 47,71 489557 4974799
ADD CUBB 938,76 395363 4564255
ADD CMLM 166,48 327197 1839158
ADD KOXY 726,81 524164 4054066
ADD OLOP 661,76 222298 6088074
ADD KYEV 211,43 280227 7208271
ADD TKRF 23,41 832870 7400685
ADD NBFN 216,65 303659 9559529
ADD EQTP 839,63 798910 6888866
ADD ZZLG 537,54 995626 1746961
ADD WMDY 48,39 639551 6707979
ADD TLNU 485,37 399245 8442747
ADD DAWO 230,37 721638 8921898
ADD OOKP 663,70 308575 1353465
ADD TCIM 884,85 601870 740899
ADD PTMB 41,96 721933 8370046
ADD DSRC 880,00 581621 7736376
ADD ALWH 642,78 306532 7484059
ADD QYHO 518,96 707703 1252555
ADD OLAF 409,67 994127 1286020
ADD NWUH 913,11 741520 7550302
ADD PGVA 71,22 18397 9765003
ADD OLSS 603,91 908189 3873941
ADD GNHV 68,45 190137 2894754
ADD BARV 624,75 977306 136242
ADD LMUP 861,53 626351 7441628
ADD AWDJ 444,26 588517 7539862
ADD DWRZ 182,46 889388 8057836
ADD IAGU 482,36 17272 6833862
ADD OBDX 49,93 461309 5804452
ADD WBJK 140,56 741426 6101858
ADD QCVH 612,88 865935 8105718
ADD JXZF 537,94 269134 9554991
ADD NTQT 139,17 523820 1661174
ADD YYZS 394,05 519849 3549838
ADD MJCF 715,70 492547 4000468
ADD LGUG 750,36 346239 4915457
ADD NQVC 476,47 788576 3785701
ADD ZBRE 471,51 139437 9165995
ADD TGEY 424,84 381103 6509978
ADD ZGUE 717,78 102000 2457552
ADD KZKJ 166,65 99772 7445766
ADD WEXM 830,31 225635 1058512
ADD RZRX 120,29 452021 2037340
ADD AXEG 320,27 725060 901168
ADD EUJK 20,42 817381 6489325
ADD ZYDZ 903,60 896174 2274704
ADD SGQG 781,49 141881 5657901
ADD OASG 772,57 342687 6100020
ADD QXSC 37,75 54270 9247918
ADD OTYA 545,65 739059 326655
ADD PYMD 925,82 556448 7295139
ADD PSTV 587,04 357862 1928434
ADD TVMU 926,54 664235 4776797
ADD JJOC 637,34 754902 6583728
ADD XTRZ 832,27 245517 4973392
ADD NTFZ 946,69 621629 2873213
ADD FYXU 156,27 271826 5297550
ADD FDQQ 351,84 449466 4306489
ADD YNKM 550,27 955877 3791178
ADD EHTU 988,47 339143 7170536
ADD GICA 46,98 667540 8912085
ADD FHQR 580,38 505027 1449388
ADD UQSV 193,64 522444 4487715
ADD SIRF 496,60 516649 1451720
ADD SMZP 393,26 630360 6198982
ADD VOTV 18,25 601942 7072159
ADD GFLP 19,75 188453 246384
ADD LGCT 506,16 985542 6130226
ADD IKOZ 123,51 664703 1852276
ADD VWVR 410,94 302679 5101732
ADD KSWU 793,79 96532 444229
ADD WCOC 316,77 222083 4748472
ADD ZCCH 494,27 746480 7882485
ADD OLAA 460,36 151465 9186512
ADD OHJL 938,22 208830 383670
ADD XFXQ 416,46 358660 1418735
ADD LDJA 319,75 270989 9343707
ADD IYGM 891,35 607472 9803063
ADD XXBT 967,38 332615 7774039
ADD CJPD 815,69 539755 9903723
ADD IHOM 736,54 173434 6459452
ADD VTLR 178,21 4305 2520557
ADD YKIX 707,24 705746 2678972
ADD OJME 291,50 240543 5758528
ADD SKWE 3,40 800348 9470762
ADD BCDS 431,48 695856 3615750
ADD JEZG 800,29 589508 6926201
ADD PMKM 41,84 257218 5014146
ADD MCDE 836,28 306454 2334010
ADD YNSF 944,86 130352 1747606
ADD SIMT 995,65 872256 6786977
ADD ZHTZ 250,10 431032 8504132
ADD DUHE 778,46 351501 1526528
ADD EAKZ 902,24 306998 1884336
ADD AQHL 724,27 360299 2666954
ADD IMNH 59,67 11366 7765532
ADD ROWC 105,84 838885 6349072
ADD VSZP 744,94 546341 453610
ADD HKQW 459,34 916072 9550342
ADD YTMU 458,81 465072 8968476
ADD EUAS 767,44 503297 4270718
ADD BAHJ 699,05 577826 5261526
ADD GPRN 361,77 832604 2069994
ADD BGIX 575,55 794041 3518170
ADD BTHR 860,97 958405 221534
ADD GSQG 963,03 653648 8954890
ADD YVGF 710,95 571626 199947
ADD OSIX 882,85 717285 6620136
ADD TLTZ 143,63 593559 1058500
ADD YOTU 55,31 267220 7383064
ADD OKJV 620,58 737975 4606587
ADD XPYM 813,80 524762 132315
ADD UTCD 78,03 479576 3848387
ADD ZCQT 822,21 996050 1503125
ADD LHGF 539,63 933990 5138639
ADD YJPM 287,10 279353 5700552
ADD UBIE 913,29 672622 4356593
ADD IQEU 605,88 981933 6700949
ADD GGLI 38,60 235740 3943067
ADD QJTW 642,60 10728 9795393
ADD OZYR 301,24 879997 6967392
ADD HBRU 72,51 888393 3008428
ADD XZFA 380,73 196413 9334259
ADD ZDRA 487,06 904523 1614043
ADD YVNT 947,88 73064 9646629
ADD IRUL 200,58 175307 5383790
ADD GZGX 378,55 955180 4158314
ADD PPTI 950,03 65157 171049
ADD EVBC 799,88 109268 335829
ADD YMJI 929,38 301719 9920751
ADD BWHV 35,52 742413 2394262
ADD TMEF 849,87 594107 4384961
ADD TSHJ 266,31 105060 3617666
ADD ALNY 967,61 631376 2440899
ADD YKUH 472,73 621189 381194
ADD SEFH 269,99 790864 9902774
ADD SWGB 975,52 399677 1067585
ADD EWRU 262,17 880922 5662077
ADD TPIP 640,96 76088 6216921
ADD HZKN 45,21 734761 6273180
ADD VIAL 567,14 302531 6909478
ADD GJZL 627,10 721754 1266355
ADD KDVY 317,69 870985 8749849
ADD JSFP 658,23 989482 988422
ADD WEUM 19,27 366040 4677
ADD WZJY 32,63 22644 5380471
ADD QBEG 889,40 205085 7258716
ADD AZIO 46,36 557622 3874953
ADD KAMW 10,82 991139 8497841
ADD LAZN 54,52 82507 1603039
ADD HEEH 418,99 621591 5758263
ADD SQLJ 818,29 121457 5640122
ADD VRMG 818,99 9158 5894272
ADD EAHJ 983,35 85700 4993277
ADD BKLS 498,31 312732 7992766
ADD VFAO 381,12 435648 9611051
ADD YPID 251,92 694501 2179652
ADD TYTP 94,20 645570 5861222
ADD YXPT 385,94 144719 6990085
ADD BJRG 477,48 38854 4851569
ADD TUQY 116,50 590181 3985683
ADD KKFA 576,26 341610 2264750
ADD LVCL 930,01 948245 401696
ADD VUXB 632,81 117289 7569440
ADD MYQG 721,33 444010 7281791
ADD OQAR 622,79 90143 4759017
ADD XMUO 776,29 692433 7756067
ADD TCHJ 12,86 621770 1450700
ADD KAMH 914,84 859543 1498270
ADD ATVI 181,09 828742 2172843
ADD IRRZ 361,37 375272 6210594
ADD BMPM 191,25 732943 1186185
ADD NCWG 158,54 508624 6306306
ADD IRYG 862,73 615938 7382792
ADD XLJX 191,00 281149 8020656
ADD YKME 327,25 834716 23275
ADD CSKQ 135,47 705851 2345792
